,Preço do aluguel (escala log)
10035,6.90875477931522
4954,5.484796933490655
23706,7.170888478512505
29415,8.231642179973411
22876,4.804021044733257
27900,5.293304824724492
5001,4.912654885736052
26268,4.976733742420574
22226,7.1770187659099
4724,8.24301946898925
6602,5.993961427306569
21353,8.131824785007195
12385,6.617402977974478
19042,5.771441123130016
69,6.508769136971682
29082,5.820082930352362
1739,5.5053315359323625
25292,5.736572297479192
23065,5.583496308781699
10843,6.815639990074331
17366,6.523562306149512
22340,6.220590170099739
17446,5.68697535633982
22536,5.802118375377063
15825,5.6240175061873385
227,6.617402977974478
29135,5.605802066295998
24248,5.7430031878094825
11674,6.111467339502679
1864,5.723585101952381
23468,5.707110264748875
11368,5.703782474656201
10455,5.3612921657094255
23822,5.393627546352362
5191,5.937536205082426
15361,6.3473892096560105
1812,6.78105762593618
12756,5.198497031265826
383,5.808142489980444
26681,4.983606621708336
729,5.575949103146316
313,6.55250788703459
14411,6.293419278846481
10231,6.228511003591184
10906,5.525452939131784
2826,6.016157159698354
9198,5.521460917862246
21620,5.683579767338681
5673,5.707110264748875
5262,7.075808863978387
3059,6.144185634125646
16818,5.976350909297934
8902,8.32020459757888
25792,5.468060141135132
25137,5.986452005284438
4044,5.8888779583328805
8880,5.762051382780177
12094,5.5093883366279774
15431,5.777652323222656
24501,5.293304824724492
25203,4.770684624465665
19000,6.20050917404269
27403,8.294299608857235
20569,6.003887067106539
23801,5.676753802268282
6899,5.902633333401366
2897,9.210440366976515
22917,6.880384082186005
12440,6.80128303447162
8157,5.37989735354046
725,9.945396955613338
4618,6.732210706467206
5407,5.293304824724492
14399,5.25227342804663
11176,5.8888779583328805
8629,6.2166061010848646
22471,6.709304340258298
4447,6.539585955617669
12230,5.14166355650266
15426,5.564520407322694
5826,5.707110264748875
9443,5.659482215759621
6920,5.293304824724492
620,6.641182169740591
15506,5.934894195619588
10525,5.068904202220232
8960,7.1846291527173145
16487,5.43372200355424
24391,5.602118820879701
15625,4.912654885736052
6025,5.860786223465865
5418,5.69035945432406
6494,5.60947179518496
22119,4.812184355372417
1977,4.969813299576001
26307,5.5093883366279774
26841,5.41610040220442
10463,6.634633357861686
9897,5.272999558563747
29371,6.68586094706836
16110,5.83773044716594
13449,5.442417710521793
28211,5.69035945432406
16126,5.905361848054571
25953,5.159055299214529
21717,5.60947179518496
18181,5.53338948872752
7286,5.662960480135946
17399,6.089044875446846
15626,5.135798437050262
17962,5.771441123130016
2815,6.975413927455952
17526,4.718498871295094
21026,5.834810737062605
2782,7.895063498091573
15068,5.303304908059076
26731,5.459585514144159
15062,5.545177444479562
5528,6.115892125483034
2512,8.0774471493312
19453,5.476463551931511
12505,7.226209010100671
19196,5.4638318050256105
25665,5.484796933490655
24488,6.583409222158765
13872,5.860786223465865
13220,8.379079889286603
12774,4.634728988229636
19609,4.795790545596741
18571,5.564520407322694
54,5.968707559985366
27250,5.4510384535657
14695,5.6240175061873385
3463,5.8888779583328805
14563,7.090909822079984
18572,6.003887067106539
2847,5.700443573390687
5485,5.652489180268651
6824,6.184148890937483
7487,6.635946555686647
22467,7.496097345175956
4032,5.135798437050262
20614,6.013715156042802
24986,5.2574953720277815
20295,7.550135342488429
5070,5.476463551931511
28042,5.921578419643816
2859,5.817111159963204
7042,5.2832037287379885
29218,5.69035945432406
898,5.886104031450156
28022,5.5053315359323625
20791,5.5053315359323625
1722,5.749392985908253
15436,5.267858159063328
17475,5.3981627015177525
27880,4.90527477843843
11482,5.659482215759621
12131,6.049733455231958
13152,6.831953565565855
3737,5.638354669333745
27839,5.583496308781699
26005,5.484796933490655
17379,5.017279836814924
7420,7.062191632286556
21640,5.214935757608986
18679,5.017279836814924
20598,5.389071729816501
26695,4.976733742420574
8101,5.476463551931511
24551,5.598421958998375
14151,4.770684624465665
913,5.6937321388027
8340,7.13966033596492
15590,4.74493212836325
27246,5.908082938168931
8317,8.612685172875459
14074,5.278114659230517
21564,5.442417710521793
18040,6.111467339502679
16102,5.37989735354046
12011,6.152732694704104
28341,5.3612921657094255
25221,5.62040086571715
7573,5.598421958998375
13561,5.950642552587727
9905,5.613128106388071
23476,6.284134161070802
15297,5.267858159063328
22511,5.62040086571715
8196,7.301147805856032
18187,5.501258210544727
25910,7.039660349862076
23647,6.985641817639208
2095,4.927253685157205
19108,5.049856007249537
27645,6.234410725718371
6290,5.991464547107982
20660,5.831882477283517
9792,5.598421958998375
11502,6.042632833682381
13090,5.389071729816501
2245,6.55250788703459
12965,6.061456918928017
3938,5.863631175598097
1153,6.478509642208569
7667,5.638354669333745
12146,5.53338948872752
1084,5.476463551931511
3505,6.018593214496234
24097,5.3981627015177525
27918,5.5093883366279774
18494,5.247024072160486
8739,7.254177846456518
19046,5.247024072160486
14874,5.863631175598097
23382,5.44673737166631
4489,6.163314804034641
10963,5.181783550292085
27462,5.375278407684165
26880,5.14166355650266
18688,5.525452939131784
5076,5.545177444479562
3826,5.934894195619588
25017,7.333676395657684
26917,5.2832037287379885
12811,5.638354669333745
4305,6.329720905522696
8099,6.175867270105761
1880,5.68697535633982
13166,5.407171771460119
15076,5.488937726156687
28982,5.3471075307174685
3921,6.452048954437226
2998,5.950642552587727
2707,5.525452939131784
19836,5.198497031265826
11438,6.2166061010848646
10122,8.661466680572662
26886,5.231108616854587
14761,6.111467339502679
4966,5.768320995793772
18524,4.927253685157205
6285,5.525452939131784
4547,8.36380888451688
20903,5.247024072160486
12650,5.420534999272286
14186,5.1647859739235145
15478,5.351858133476067
3302,7.398174092970465
24909,6.39024066706535
28913,5.351858133476067
